player_name,league,club,season,date,opponent,is_home,result,minutes,goals,shots,xg,xag,assists,key_passes,yellow_cards,red_cards
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-02-22,,,,71,0,1,0.03029283881187439,0.467721551656723,1,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-03-01,,,,58,0,1,0.04952859878540039,0.6401030421257019,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-03-09,,,,90,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-03-16,,,,81,0,1,0.030879879370331764,0.42265719175338745,1,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-03-29,,,,67,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-04-06,,,,73,0,1,0.04205174371600151,0.0,0,0,1,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-04-14,,,,78,1,2,0.36348503828048706,0.04100339114665985,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-04-19,,,,90,0,1,0.03925073519349098,0.5001261234283447,0,2,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-04-24,,,,69,0,0,0.0,0.6326891183853149,1,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-05-03,,,,65,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-05-10,,,,70,0,1,0.050143640488386154,0.3945159912109375,0,2,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-05-15,,,,47,0,1,0.03736458346247673,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-05-18,,,,84,0,1,0.031616054475307465,0.49636971950531006,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-05-25,,,,23,0,0,0.0,0.08960198611021042,0,1,0,0
Juan Musso,ESP-La Liga,Atlético Madrid,2024-25,2024-08-31,,,,90,0,0,0.0,0.0,0,0,0,0
Juan Musso,ESP-La Liga,Atlético Madrid,2024-25,2025-05-25,,,,90,0,0,0.0,0.0,0,0,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-09-29,,,,75,0,2,0.09198741614818573,0.04940874129533768,0,2,1,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-10-06,,,,75,1,2,0.08420387655496597,0.0,0,0,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-10-20,,,,31,0,2,0.11007970571517944,0.6042377948760986,1,1,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-10-27,,,,90,0,1,0.044584810733795166,0.022980423644185066,0,1,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-11-03,,,,68,0,2,0.17262062430381775,0.08334024250507355,0,1,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-11-10,,,,63,1,4,0.6581178903579712,0.0,0,0,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-11-23,,,,29,0,0,0.0,0.12148324400186539,0,2,1,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-11-30,,,,70,1,2,0.5819783210754395,0.641716480255127,1,2,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-12-08,,,,79,0,1,0.01749304309487343,0.0965314656496048,0,1,1,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-12-15,,,,90,0,1,0.07928717136383057,0.06593603640794754,0,1,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2024-12-21,,,,90,0,1,0.007436586078256369,0.2753969430923462,0,1,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2025-01-12,,,,80,1,4,1.3956115245819092,0.0,0,0,0,0
Julián Álvarez,ESP-La Liga,Atlético Madrid,2024-25,2025-01-18,,,,90,0,2,0.5357438325881958,0.1133517250418663,0,2,0,0
